dataset,stimulus,source_position,source_label,r11,r12,r13,r21,r22,r23,r31,r32,r33
thomas15a,1,1,1,23,23,12,9,4,8,0,0,1
thomas15a,2,4,2,3,22,35,0,6,14,0,0,0
thomas15a,3,7,3,0,4,57,0,5,14,0,0,0
thomas15a,4,2,4,12,5,9,24,10,8,9,3,0
thomas15a,5,5,5,5,6,13,13,19,14,4,4,2
thomas15a,6,8,6,0,2,13,1,10,42,1,3,8
thomas15a,7,3,7,1,1,0,14,6,2,45,7,4
thomas15a,8,6,8,2,1,4,8,3,10,24,19,9
thomas15a,9,9,9,0,0,3,1,5,16,3,13,39
thomas15b,1,1,1,15,7,17,17,15,6,1,1,1
thomas15b,2,4,2,5,5,31,10,12,11,4,1,1
thomas15b,3,7,3,1,1,37,3,12,16,3,3,4
thomas15b,4,2,4,9,4,11,31,6,8,7,3,1
thomas15b,5,5,5,6,3,16,10,17,15,6,3,4
thomas15b,6,8,6,5,1,15,3,15,20,7,4,10
thomas15b,7,3,7,2,1,6,13,6,8,33,8,3
thomas15b,8,6,8,3,1,5,4,5,9,25,16,12
thomas15b,9,9,9,0,0,3,2,7,11,16,19,22
