dataset,n_trials,rep,tps_target,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,mdsdt_ok,mdsdt_secs,best_model,mdsdt_zx_0,mdsdt_zx_1,mdsdt_zx_2,mdsdt_zx_3,mdsdt_zy_0,mdsdt_zy_1,mdsdt_zy_2,mdsdt_zy_3,mdsdt_rho_0,mdsdt_rho_1,mdsdt_rho_2,mdsdt_rho_3,grtools_ok,grtools_secs,grtools_model,grtools_conv,grtools_zx_0,grtools_zx_1,grtools_zx_2,grtools_zx_3,grtools_zy_0,grtools_zy_1,grtools_zy_2,grtools_zy_3,grtools_rho_0,grtools_rho_1,grtools_rho_2,grtools_rho_3,grin_zx_0,grin_zx_1,grin_zx_2,grin_zx_3,grin_zy_0,grin_zy_1,grin_zy_2,grin_zy_3,grin_rho_0,grin_rho_1,grin_rho_2,grin_rho_3,grin_ok,python_mle_zx_0,python_mle_zx_1,python_mle_zx_2,python_mle_zx_3,python_mle_zy_0,python_mle_zy_1,python_mle_zy_2,python_mle_zy_3,python_mle_rho_0,python_mle_rho_1,python_mle_rho_2,python_mle_rho_3,python_mle_ok
thomas01a,800,1,200,54,102,37,7,31,115,24,30,12,30,82,76,7,24,64,105,True,0.072380781173706,PS(A)_PS(B)_none,-0.659111932105453,-0.659111932105453,0.874514715711568,0.874514715711568,0.068298783352651,0.4856821635822317,0.068298783352651,0.4856821635822317,-0.6663468486420315,-0.3687283884830833,-0.3188785220030487,-0.2238731811393335,True,6.620215654373169,"GRT-{1_RHO, PS, DS}",0,-0.6713293993549175,-0.6713293993549175,0.8746590500606445,0.8746590500606445,0.0676724727399357,0.5039315976339214,0.0676724727399357,0.5039315976339214,-0.4242224754180299,-0.4242224754180299,-0.4242224754180299,-0.4242224754180299,-0.6672000288963318,-0.6256913542747498,0.8720200061798096,0.910706639289856,-0.09428869187831879,0.4578958749771118,-0.12743450701236725,0.43506690859794617,-0.39872807264328003,-0.31169649958610535,-0.3711887300014496,-0.29651084542274475,True,-0.6744944585798341,-0.6744944585798341,0.8969109573804881,0.8969109573804881,0.0688163389005166,0.49675839908262776,0.0688163389005166,0.49675839908262776,-0.6866010351725312,-0.3721733353115453,-0.3320737853102544,-0.24874450671863668,True
thomas01a,800,2,200,66,88,39,7,33,124,25,18,7,24,108,61,4,32,57,107,True,0.0625648498535156,PS(A)_PS(B)_same_rho,-0.7352242832885285,-0.7352242832885285,0.920039441429822,0.920039441429822,-0.114577612273753,0.507837591272293,-0.114577612273753,0.507837591272293,-0.5160809593780125,-0.5160809593780125,-0.5160809593780125,-0.5160809593780125,False,7.611521005630493,"GRT-{1_RHO, PS, DS}",52,-0.754099027961598,-0.754099027961598,0.964156015435744,0.964156015435744,-0.1217698310094244,0.5174446854525155,-0.1217698310094244,0.5174446854525155,-0.5377215075579448,-0.5377215075579448,-0.5377215075579448,-0.5377215075579448,-0.7160362005233765,-0.7327001690864563,0.9742060303688049,0.9208981394767761,-0.22953933477401733,0.49037453532218933,-0.23721735179424286,0.4919658601284027,-0.4731472432613373,-0.48858314752578735,-0.48360416293144226,-0.4478224515914917,True,-0.7523256250398807,-0.7523256250398807,0.9454826315153986,0.9454826315153986,-0.11665813827982198,0.5189398646484777,-0.11665813827982198,0.5189398646484777,-0.5386498172413962,-0.5386498172413962,-0.5386498172413962,-0.5386498172413962,True
thomas01a,800,3,200,64,91,32,13,31,127,18,24,7,18,95,80,3,24,58,115,True,0.0686655044555664,PS(A)_PS(B)_same_rho,-0.748849260451083,-0.748849260451083,1.0780211143332796,1.0780211143332796,0.015637237022646,0.5805675333006137,0.015637237022646,0.5805675333006137,-0.3705644388936606,-0.3705644388936606,-0.3705644388936606,-0.3705644388936606,False,8.060701370239258,"GRT-{1_RHO, PS, DS}",52,-0.7624802227412782,-0.7624802227412782,1.1114890330164569,1.1114890330164569,0.0165848002588557,0.5924097192172564,0.0165848002588557,0.5924097192172564,-0.3859382437865045,-0.3859382437865045,-0.3859382437865045,-0.3859382437865045,-0.7299355864524841,-0.749875545501709,1.154505968093872,1.1357200145721436,-0.09823551774024963,0.5621333122253418,-0.127421572804451,0.5526860952377319,-0.32515549659729004,-0.29751405119895935,-0.3395479619503021,-0.31667765974998474,True,-0.7659672648036371,-0.7659672648036371,1.111800425011691,1.111800425011691,0.016032324486145236,0.5938474042212649,0.016032324486145236,0.5938474042212649,-0.3901986731434013,-0.3901986731434013,-0.3901986731434013,-0.3901986731434013,True
thomas01a,800,4,200,61,86,44,9,38,116,20,26,7,21,85,87,2,27,63,108,True,0.0695500373840332,PS(A)_PS(B)_same_rho,-0.6735964429338341,-0.6735964429338341,1.0415373433706698,1.0415373433706698,0.0222348065139778,0.4859139680842491,0.0222348065139778,0.4859139680842491,-0.4290862111858983,-0.4290862111858983,-0.4290862111858983,-0.4290862111858983,True,7.672205924987793,"GRT-{1_RHO, PS, DS}",0,-0.6692328709354005,-0.6692328709354005,1.067017036536325,1.067017036536325,0.021691234412354,0.4925937649484689,0.021691234412354,0.4925937649484689,-0.4459088692261743,-0.4459088692261743,-0.4459088692261743,-0.4459088692261743,-0.609251081943512,-0.6528058052062988,1.073720932006836,1.0782535076141357,-0.11030930280685425,0.4891912043094635,-0.13275302946567535,0.4665724039077759,-0.4054577648639679,-0.29329317808151245,-0.3368050754070282,-0.3932912349700928,True,-0.6892145747395625,-0.6892145747395625,1.0737375704775862,1.0737375704775862,0.022518489298288084,0.49681343723980775,0.022518489298288084,0.49681343723980775,-0.4519177945957148,-0.4519177945957148,-0.4519177945957148,-0.4519177945957148,True
thomas01a,800,5,200,66,86,37,11,28,120,20,32,9,25,94,72,2,36,64,98,True,0.065711498260498,PS(A)_-_same_rho,-0.658024556066579,-0.658024556066579,0.8943609736553209,0.8943609736553209,-0.0455308025129387,0.6944215458809568,-0.0306899349687159,0.4291738257631936,-0.4417354033097144,-0.4417354033097144,-0.4417354033097144,-0.4417354033097144,True,7.622490406036377,"GRT-{1_RHO, PS, DS}",0,-0.6525079048627684,-0.6525079048627684,0.901082320643496,0.901082320643496,-0.0441368952913843,0.5673923800078957,-0.0441368952913843,0.5673923800078957,-0.4571143314852671,-0.4571143314852671,-0.4571143314852671,-0.4571143314852671,-0.6212940216064453,-0.5943045616149902,0.9260343909263611,0.9093692302703857,-0.1267448514699936,0.5457711815834045,-0.17047859728336334,0.5186542272567749,-0.39079049229621887,-0.3534386456012726,-0.4019182622432709,-0.42134779691696167,True,-0.6728401612786504,-0.6728401612786504,0.9191268175420082,0.9191268175420082,-0.04693499180901599,0.7103939111680616,-0.03131659790811996,0.4396725862688099,-0.46092254791749665,-0.46092254791749665,-0.46092254791749665,-0.46092254791749665,True
thomas01a,800,6,200,75,82,35,8,29,125,19,27,9,33,76,82,5,35,55,105,True,0.0664658546447753,PS(A)_-_same_rho,-0.7472010266592269,-0.7472010266592269,0.8020769725132953,0.8020769725132953,-0.1301380227721263,0.6952911369965982,0.181688476274274,0.5147917874552207,-0.4014830953275373,-0.4014830953275373,-0.4014830953275373,-0.4014830953275373,True,7.673999786376953,"GRT-{1_RHO, PS, DS}",0,-0.7676152379766833,-0.7676152379766833,0.8347279884731637,0.8347279884731637,0.0248986814129996,0.6138031275924177,0.0248986814129996,0.6138031275924177,-0.4149746691824896,-0.4149746691824896,-0.4149746691824896,-0.4149746691824896,-0.739357054233551,-0.7232217192649841,0.7993142604827881,0.8070670962333679,-0.1358543336391449,0.6039549112319946,-0.16102959215641022,0.5283393263816833,-0.3689447045326233,-0.32142922282218933,-0.37524840235710144,-0.35805290937423706,True,-0.7651301208167361,-0.7651301208167361,0.82260416357646,0.82260416357646,-0.13331751705650974,0.711481376526616,0.18509508013825826,0.5268188683195592,-0.42027186680815154,-0.42027186680815154,-0.42027186680815154,-0.42027186680815154,True
thomas01a,800,7,200,65,85,41,9,23,123,25,29,13,27,87,73,4,23,60,113,True,0.1736090183258056,PS(A)_PS(B)_same_rho,-0.622707678969624,-0.622707678969624,0.9219686841412204,0.9219686841412204,-0.055180031304428,0.5849079070533832,-0.055180031304428,0.5849079070533832,-0.4248210708519604,-0.4248210708519604,-0.4248210708519604,-0.4248210708519604,True,6.804964303970337,"GRT-{1_RHO, PS, DS}",0,-0.6292428853869,-0.6292428853869,0.9458988455726812,0.9458988455726812,-0.0568399688953437,0.5970527923585458,-0.0568399688953437,0.5970527923585458,-0.4400958200392671,-0.4400958200392671,-0.4400958200392671,-0.4400958200392671,-0.6013248562812805,-0.596291720867157,0.9205575585365295,0.9817151427268982,-0.16058626770973206,0.5714523792266846,-0.1829972118139267,0.5366319417953491,-0.4069450795650482,-0.3936240077018738,-0.38087376952171326,-0.35047540068626404,True,-0.636381567017838,-0.636381567017838,0.9471176704083022,0.9471176704083022,-0.057629336456608324,0.5992021180801124,-0.057629336456608324,0.5992021180801124,-0.44357971945598057,-0.44357971945598057,-0.44357971945598057,-0.44357971945598057,True
thomas01a,800,8,200,57,105,31,7,38,118,22,22,17,23,92,68,6,36,62,96,True,0.0638656616210937,PS(A)_-_none,-0.8037028159514421,-0.8037028159514421,0.803702815951442,0.803702815951442,0.13136668764886,0.5238335184953578,-0.1090141642285804,0.4007891776653412,-0.6131742312784106,-0.3832949079188472,-0.2088277941262509,-0.3911968198861926,True,7.913455247879028,"GRT-{1_RHO, PS, DS}",0,-0.8015840669994733,-0.8015840669994733,0.7972897106153917,0.7972897106153917,0.014344543632169,0.4679940534844627,0.014344543632169,0.4679940534844627,-0.4136301320346376,-0.4136301320346376,-0.4136301320346376,-0.4136301320346376,-0.826185941696167,-0.773769199848175,0.8105776906013489,0.7669263482093811,-0.15689048171043396,0.4472930133342743,-0.15955094993114471,0.4430987536907196,-0.3703164756298065,-0.3089025020599365,-0.31736254692077637,-0.3577139973640442,True,-0.8238909725576246,-0.8238909725576246,0.8238817210818712,0.8238817210818712,0.13334812572911614,0.5354938396604553,-0.11114837643168866,0.4090521263625067,-0.6338900238354416,-0.3874105272730413,-0.21429672166478467,-0.4199608903332268,True
thomas01a,800,9,200,65,93,36,6,29,127,19,25,14,28,86,72,4,20,58,118,True,0.1703052520751953,-_PS(B)_none,-0.7892748424331818,-0.7276151393240721,0.7879948308570434,1.1267369831091718,-0.0061437354010398,0.5845898570594735,-0.0061437354010398,0.5845898570594735,-0.6105466430532333,-0.4092801581170557,-0.2923164358585828,-0.2199626043807748,True,7.204108953475952,"GRT-{1_RHO, PS, DS}",0,-0.788031306051596,-0.788031306051596,0.9609362227426828,0.9609362227426828,-0.0201549886443589,0.6049332018776051,-0.0201549886443589,0.6049332018776051,-0.4079768238179325,-0.4079768238179325,-0.4079768238179325,-0.4079768238179325,-0.7438905835151672,-0.7449466586112976,0.887785792350769,1.0478852987289429,-0.14188793301582336,0.5594078302383423,-0.17480842769145966,0.5478193759918213,-0.3854225277900696,-0.3171505033969879,-0.3611748218536377,-0.3034309148788452,True,-0.8089763301997134,-0.7451372851377018,0.807624301087963,1.1610299262092345,-0.006272837150217778,0.5977604239915608,-0.006272837150217778,0.5977604239915608,-0.6341692243079748,-0.41233155871706795,-0.3028868240775955,-0.2613064891965156,True
thomas01a,800,10,200,61,81,43,15,25,133,22,20,11,25,91,73,7,33,56,104,True,0.067167043685913,PS(A)_PS(B)_same_rho,-0.6496140567757585,-0.6496140567757585,0.8375739489987618,0.8375739489987618,-0.0199541330062369,0.5658579509712358,-0.0199541330062369,0.5658579509712358,-0.4116813890595596,-0.4116813890595596,-0.4116813890595596,-0.4116813890595596,True,7.695632457733154,"GRT-{1_RHO, PS, DS}",0,-0.6640253605580502,-0.6640253605580502,0.8619444134832439,0.8619444134832439,-0.0187670910679325,0.5794695452783718,-0.0187670910679325,0.5794695452783718,-0.4211609290133787,-0.4211609290133787,-0.4211609290133787,-0.4211609290133787,-0.5733821988105774,-0.6995154023170471,0.8978813886642456,0.8470666408538818,-0.14616641402244568,0.5933610796928406,-0.17049381136894226,0.5634155869483948,-0.36896607279777527,-0.3642643094062805,-0.3814905881881714,-0.3345286548137665,True,-0.6640727593721307,-0.6640727593721307,0.8591067192931516,0.8591067192931516,-0.019740712814922522,0.5780201491436929,-0.019740712814922522,0.5780201491436929,-0.42687352458718314,-0.42687352458718314,-0.42687352458718314,-0.42687352458718314,True
