participant,trial,stimulus,response
p01,1,a2/b2,a2/b1
p01,2,a2/b1,a2/b1
p01,3,a2/b2,a2/b2
p01,4,a1/b2,a1/b2
p01,5,a2/b2,a1/b1
p01,6,a2/b2,a2/b2
p01,7,a2/b2,a2/b2
p01,8,a1/b2,a1/b2
p01,9,a2/b2,a2/b2
p01,10,a1/b2,a1/b2
p01,11,a2/b1,a2/b2
p01,12,a2/b1,a2/b1
p01,13,a1/b2,a1/b2
p01,14,a1/b1,a1/b1
p01,15,a1/b1,a1/b1
p01,16,a1/b1,a1/b1
p01,17,a2/b2,a1/b2
p01,18,a2/b2,a2/b2
p01,19,a2/b1,a2/b1
p01,20,a1/b2,a1/b2
p01,21,a1/b1,a1/b1
p01,22,a2/b2,a2/b2
p01,23,a2/b1,a2/b1
p01,24,a1/b2,a1/b1
p01,25,a2/b1,a2/b1
p01,26,a1/b1,a1/b1
p01,27,a2/b1,a2/b1
p01,28,a2/b1,a1/b2
p01,29,a1/b1,a1/b1
p01,30,a2/b1,a2/b1
p01,31,a2/b1,a2/b1
p01,32,a1/b2,a1/b2
p01,33,a2/b1,a2/b1
p01,34,a1/b2,a1/b2
p01,35,a1/b2,a1/b2
p01,36,a2/b2,a1/b2
p01,37,a2/b1,a2/b1
p01,38,a1/b2,a1/b2
p01,39,a2/b1,a2/b1
p01,40,a2/b1,a2/b1
p01,41,a1/b2,a1/b2
p01,42,a2/b2,a1/b1
p01,43,a2/b2,a2/b2
p01,44,a1/b1,a1/b1
p01,45,a1/b2,a1/b2
p01,46,a2/b2,a2/b2
p01,47,a2/b2,a2/b2
p01,48,a2/b1,a2/b1
p01,49,a2/b2,a2/b2
p01,50,a2/b1,a1/b1
p01,51,a1/b1,a1/b1
p01,52,a2/b1,a2/b2
p01,53,a2/b1,a2/b1
p01,54,a1/b1,a1/b1
p01,55,a1/b2,a1/b2
p01,56,a2/b1,a1/b1
p01,57,a2/b1,a2/b1
p01,58,a1/b2,a1/b2
p01,59,a1/b2,a1/b2
p01,60,a2/b2,a2/b2
p01,61,a2/b2,a2/b2
p01,62,a1/b1,a1/b1
p01,63,a2/b1,a2/b1
p01,64,a1/b1,a2/b1
p01,65,a2/b1,a2/b1
p01,66,a1/b2,a1/b2
p01,67,a2/b2,a2/b2
p01,68,a1/b2,a2/b2
p01,69,a2/b2,a2/b2
p01,70,a1/b2,a1/b2
p01,71,a2/b2,a2/b1
p01,72,a2/b2,a2/b2
p01,73,a2/b2,a1/b2
